       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            51        0.8000        0.0400       102            2.1000        8.1600        0.0600       175          -10.0000        5.6600        0.0900

       logQ = logRho - 2*logT + 12
      -10.000000

 logT logPgas   lpp_H  lpp_He   lpp_C   lpp_N   lpp_O  lpp_Ne  lpp_Mg  lpp_Si  lpp_Fe     Z_H    Z_He     Z_C     Z_N     Z_O    Z_Ne    Z_Mg    Z_Si    Z_Fe     f_H    f_He     f_C     f_N     f_O    f_Ne    f_Mg    f_Si    f_Fe
 4.50   0.800   0.465  -0.836  -2.676  -3.257  -2.357  -3.143  -3.585  -3.427  -3.692   1.000   1.975   3.490   3.026   2.980   8.000   2.036   3.999   4.040   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.56   1.040   0.705  -0.596  -2.437  -3.017  -2.117  -2.903  -3.345  -3.187  -3.452   1.000   1.998   3.943   3.511   3.080   8.000   2.572   4.000   4.563   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.62   1.280   0.945  -0.357  -2.197  -2.777  -1.877  -2.663  -3.105  -2.948  -3.213   1.000   2.000   3.995   3.971   3.639   8.000   2.970   4.000   4.977   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.68   1.520   1.184  -0.117  -1.957  -2.537  -1.637  -2.424  -2.865  -2.708  -2.973   1.000   2.000   3.999   4.322   3.997   8.000   3.081   4.000   5.350   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.74   1.760   1.424   0.123  -1.717  -2.297  -1.398  -2.184  -2.626  -2.468  -2.733   1.000   2.000   4.000   4.893   4.531   8.000   3.694   4.000   5.933   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.80   2.000   1.664   0.363  -1.477  -2.058  -1.158  -1.944  -2.386  -2.228  -2.493   1.000   2.000   4.000   4.990   5.011   8.000   4.002   4.004   6.385   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.86   2.240   1.904   0.603  -1.238  -1.818  -0.918  -1.704  -2.146  -1.988  -2.253   1.000   2.000   4.000   4.999   5.562   8.000   4.410   4.136   6.941   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.92   2.480   2.144   0.843  -0.998  -1.578  -0.678  -1.464  -1.906  -1.748  -2.013   1.000   2.000   4.000   5.000   5.948   8.000   5.001   4.806   7.368   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.98   2.720   2.384   1.083  -0.758  -1.338  -0.438  -1.224  -1.666  -1.508  -1.773   1.000   2.000   4.000   5.000   5.994   8.000   5.693   5.118   7.900   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.04   2.960   2.624   1.323  -0.518  -1.098  -0.198  -0.984  -1.426  -1.268  -1.533   1.000   2.000   4.000   5.000   5.999   8.000   6.119   5.767   8.375   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.10   3.200   2.864   1.563  -0.278  -0.858   0.042  -0.744  -1.186  -1.029  -1.293   1.000   2.000   4.000   5.000   6.000   8.000   6.766   6.197   9.109   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.16   3.440   3.104   1.802  -0.038  -0.618   0.282  -0.504  -0.946  -0.789  -1.054   1.000   2.000   4.000   5.000   6.000   8.000   7.236   6.988   9.915   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.22   3.680   3.343   2.042   0.202  -0.378   0.522  -0.264  -0.706  -0.549  -0.814   1.000   2.000   4.007   5.000   6.000   8.000   8.231   7.838  11.066   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.28   3.920   3.583   2.282   0.442  -0.138   0.762  -0.024  -0.466  -0.309  -0.574   1.000   2.000   4.174   5.000   6.000   8.000   9.100   8.451  12.235   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.34   4.160   3.823   2.522   0.682   0.102   1.001   0.215  -0.226  -0.069  -0.334   1.000   2.000   4.793   5.001   6.000   8.000   9.771   9.088  13.149   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.40   4.400   4.063   2.762   0.922   0.342   1.241   0.455   0.013   0.171  -0.094   1.000   2.000   5.085   5.027   6.000   8.000   9.972  10.223  14.658   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.46   4.640   4.303   3.002   1.162   0.581   1.481   0.695   0.253   0.411   0.146   1.000   2.000   5.643   5.374   6.000   8.080   9.996  11.247  15.629   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.52   4.880   4.543   3.242   1.401   0.821   1.721   0.935   0.493   0.651   0.386   1.000   2.000   5.949   5.931   6.012   9.806   9.999  11.851  15.950   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
