       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            51        0.0000        1.0000       102            2.1000        8.1600        0.0600       175          -10.0000        5.6600        0.0900

       logQ = logRho - 2*logT + 12
      -10.000000

 logT logPgas   lpp_H  lpp_He   lpp_C   lpp_N   lpp_O  lpp_Ne  lpp_Mg  lpp_Si  lpp_Fe     Z_H    Z_He     Z_C     Z_N     Z_O    Z_Ne    Z_Mg    Z_Si    Z_Fe     f_H    f_He     f_C     f_N     f_O    f_Ne    f_Mg    f_Si    f_Fe
 6.54   8.960 -40.798 -41.400   7.819   4.782   7.697   4.895   4.453   4.611   4.346   1.000   2.000   6.000   7.000   8.000  10.000  12.000  13.999  24.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.60   9.200 -40.558 -41.160   8.059   5.021   7.937   5.135   4.693   4.851   4.586   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  24.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.66   9.440 -40.318 -40.920   8.299   5.261   8.177   5.375   4.933   5.091   4.826   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  24.005   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.72   9.680 -40.078 -40.680   8.539   5.502   8.417   5.615   5.173   5.331   5.066   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  24.064   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.78   9.920 -39.838 -40.440   8.779   5.742   8.657   5.855   5.413   5.571   5.306   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  24.448   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.84  10.160 -39.598 -40.200   9.019   5.981   8.897   6.095   5.653   5.811   5.546   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  25.212   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.90  10.400 -39.358 -39.960   9.259   6.221   9.137   6.335   5.893   6.051   5.786   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  25.764   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.96  10.640 -39.118 -39.720   9.499   6.461   9.377   6.575   6.133   6.291   6.026   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  25.942   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.02  10.880 -38.878 -39.480   9.739   6.701   9.617   6.815   6.373   6.531   6.266   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  25.984   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.08  11.120 -38.638 -39.240   9.979   6.941   9.857   7.055   6.613   6.771   6.506   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  25.995   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.14  11.360 -38.398 -39.000  10.219   7.181  10.097   7.295   6.853   7.011   6.746   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  25.998   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.20  11.600 -38.158 -38.760  10.459   7.421  10.337   7.535   7.093   7.251   6.986   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  25.999   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.26  11.840 -37.918 -38.520  10.699   7.661  10.577   7.775   7.333   7.491   7.226   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.32  12.080 -37.678 -38.280  10.939   7.901  10.817   8.015   7.573   7.731   7.466   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.38  12.320 -37.438 -38.040  11.179   8.141  11.057   8.255   7.813   7.971   7.706   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.44  12.560 -37.198 -37.800  11.419   8.381  11.297   8.495   8.053   8.211   7.946   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.50  12.800 -36.958 -37.560  11.659   8.621  11.537   8.735   8.293   8.451   8.186   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.56  13.040 -36.718 -37.320  11.899   8.861  11.777   8.975   8.533   8.691   8.426   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.62  13.280 -36.478 -37.080  12.139   9.101  12.017   9.215   8.773   8.931   8.666   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.68  13.520 -36.238 -36.840  12.379   9.341  12.257   9.455   9.013   9.171   8.906   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.74  13.760 -35.998 -36.600  12.619   9.581  12.497   9.695   9.253   9.411   9.146   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.80  14.000 -35.758 -36.360  12.859   9.821  12.737   9.935   9.493   9.651   9.386   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.86  14.240 -35.518 -36.120  13.099  10.062  12.977  10.175   9.733   9.891   9.626   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.92  14.480 -35.278 -35.880  13.339  10.302  13.217  10.415   9.973  10.131   9.866   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.98  14.720 -35.038 -35.640  13.579  10.541  13.457  10.655  10.213  10.371  10.106   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 8.04  14.960 -34.798 -35.400  13.819  10.781  13.697  10.895  10.453  10.611  10.346   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 8.10  15.200 -34.558 -35.160  14.059  11.021  13.937  11.135  10.693  10.851  10.586   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 8.16  15.440 -34.318 -34.920  14.299  11.261  14.177  11.375  10.933  11.091  10.826   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 

       logQ = logRho - 2*logT + 12
       -9.910000

 logT logPgas   lpp_H  lpp_He   lpp_C   lpp_N   lpp_O  lpp_Ne  lpp_Mg  lpp_Si  lpp_Fe     Z_H    Z_He     Z_C     Z_N     Z_O    Z_Ne    Z_Mg    Z_Si    Z_Fe     f_H    f_He     f_C     f_N     f_O    f_Ne    f_Mg    f_Si    f_Fe
 2.10  -8.800 -57.662 -58.264  -9.045 -12.083  -9.167 -11.969 -12.411 -12.253 -12.518   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.16  -8.560 -57.422 -58.024  -8.805 -11.843  -8.927 -11.729 -12.171 -12.013 -12.278   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.22  -8.320 -57.182 -57.784  -8.565 -11.603  -8.687 -11.489 -11.931 -11.773 -12.038   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
